ERwin Property Ids,1075850516::User Formatted Name  [read only],0::Object Type  [read only],1092616193::Attribute.Logical.Attribute Owner,1092616206::Attribute.Logical.Date Created
"1075838981::145","employee first name",Column,"David","39447"
"1075838981::146","employee address",Column,"David","39447"
"1075838981::147","employee phone",Column,"David","39447"
"1075838981::148","store manager",Column,"David","39447"
"1075838981::149","store address",Column,"David","39447"
"1075838981::150","store phone",Column,"David","39447"
"1075838981::151","store city",Column,"David","39447"
"1075838981::152","store state",Column,"David","39447"
"1075838981::153","store zip code",Column,"David","39447"
"1075838981::154","employee address 2",Column,"David","39447"
"1075838981::155","store address 2",Column,"David","39447"
"1075838981::156","movie title",Column,"David","39447"
"1075838981::157","movie director",Column,"David","39447"
"1075838981::162","rental date",Column,"David","39447"
"1075838981::163","due date",Column,"David","39447"
"1075838981::164","rental status",Column,"David","39447"
"1075838981::165","overdue charge",Column,"David","39447"
"1075838981::166","rental rate",Column,"David","39447"
"1075838981::167","rental record date",Column,"David","39447"
"1075838981::169","general condition",Column,"David","39447"
"1075838981::170","movie format",Column,"David","39447"
"1075838981::171","movie copy number",Column,"David","39447"
"1075838981::173","soc sec number",Column,"David","39447"
"1075838981::174","hire date",Column,"David","39447"
"1075838981::175","salary",Column,"David","39447"
"1075838981::176","email",Column,"David","39447"
"1075838981::177","employee number",Column,"David","39447"
"1075838981::179","description",Column,"David","39447"
"1075838981::180","star 1 name",Column,"David","39447"
"1075838981::181","rating",Column,"David","39447"
"1075838981::182","star 2 name",Column,"David","39447"
"1075838981::183","movie number",Column,"David","39447"
"1075838981::185","genre",Column,"David","39447"
"1075838981::186","rental rate",Column,"David","39447"
"1075838981::187","movie url",Column,"David","39447"
"1075838981::188","movie clip",Column,"David","39447"
"1075838981::189","store number",Column,"David","39447"
"1075838981::202","soc sec number",Column,"David","39447"
"1075838981::204","employee phone",Column,"David","39447"
"1075838981::210","movie copy number",Column,"David","39447"
"1075838981::215","movie number",Column,"David","39447"
"1075838981::218","movie number",Column,"David","39447"
"1075838981::223","store number",Column,"David","39447"
"1075838981::227","supervisor",Column,"David","39447"
"1075838981::244","customer number",Column,"David","39447"
"1075838981::246","customer address",Column,"David","39447"
"1075838981::247","customer city",Column,"David","39447"
"1075838981::248","customer first name",Column,"David","39447"
"1075838981::249","customer last name",Column,"David","39447"
"1075838981::250","customer state",Column,"David","39447"
"1075838981::251","customer zip code",Column,"David","39447"
"1075838981::252","email",Column,"David","39447"
"1075838981::259","customer number",Column,"David","39447"
"1075838981::264","customer number",Column,"David","39447"
"1075838981::266","credit card",Column,"David","39447"
"1075838981::267","credit card exp",Column,"David","39447"
"1075838981::268","status code",Column,"David","39447"
"1075838981::273","customer number",Column,"David","39447"
"1075838981::279","CCNumber",Column,"David","39447"
"1075838981::280","CCExpirationDate",Column,"David","39447"
"1075838981::281","CCStatus",Column,"David","39447"
"1075838981::283","CustomerId",Column,"David","39447"
"1075838981::284","CUST_address",Column,"David","39447"
"1075838981::285","CUST_city",Column,"David","39447"
"1075838981::286","CUST_first_name",Column,"David","39447"
"1075838981::287","CUST_last_name",Column,"David","39447"
"1075838981::288","CUST_state",Column,"David","39447"
"1075838981::289","CUST_zip_code",Column,"David","39447"
"1075838981::290","email",Column,"David","39447"
"1075838981::292","rental_record_date",Column,"David","39447"
"1075838981::293","mo_co_num",Column,"David","39447"
"1075838981::294","movie_number",Column,"David","39447"
"1075838981::295","rental_date",Column,"David","39447"
"1075838981::296","due_date",Column,"David","39447"
"1075838981::297","rental_status",Column,"David","39447"
"1075838981::298","overdue_charge",Column,"David","39447"
"1075838981::299","rental_rate",Column,"David","39447"
"1075838981::301","movie_title",Column,"David","39447"
"1075838981::303","CCNumber",Column,"David","39447"
"1075838981::304","CCExpirationDate",Column,"David","39447"
"1075838981::305","CCStatus",Column,"David","39447"
"1075838981::306","Overdue_Charge_Rate",Column,"David","39447"
"1075838981::308","CustomerId",Column,"David","39447"
"1075838981::309","CUST_address",Column,"David","39447"
"1075838981::310","CUST_city",Column,"David","39447"
"1075838981::311","CUST_first_name",Column,"David","39447"
"1075838981::312","CUST_last_name",Column,"David","39447"
"1075838981::313","CUST_state",Column,"David","39447"
"1075838981::314","CUST_zip_code",Column,"David","39447"
"1075838981::315","email",Column,"David","39447"
"1075838981::317","rental_record_date",Column,"David","39447"
"1075838981::318","mo_co_num",Column,"David","39447"
"1075838981::319","movie_number",Column,"David","39447"
"1075838981::320","rental_date",Column,"David","39447"
"1075838981::321","due_date",Column,"David","39447"
"1075838981::322","rental_status",Column,"David","39447"
"1075838981::323","overdue_charge",Column,"David","39447"
"1075838981::324","rental_rate",Column,"David","39447"
"1075838981::325","Overdue_Charge_Rate",Column,"David","39447"
"1075838981::330","movie number",Column,"David","39447"
"1075838981::335","store number",Column,"David","39447"
"1075838981::340","payment transaction number",Column,"David","39447"
"1075838981::342","payment type",Column,"David","39447"
"1075838981::343","payment amount",Column,"David","39447"
"1075838981::344","payment date",Column,"David","39447"
"1075838981::345","payment status",Column,"David","39447"
"1075838981::346","check bank number",Column,"David","39447"
"1075838981::347","check number",Column,"David","39447"
"1075838981::348","epay vendor number",Column,"David","39447"
"1075838981::349","epay account number",Column,"David","39447"
"1075838981::350","credit card number",Column,"David","39447"
"1075838981::351","credit card exp",Column,"David","39447"
"1075838981::352","credit card type",Column,"David","39447"
"1075838981::355","employee number",Column,"David","39447"
"1075838981::359","Customer No",Column,"David","39447"
"1075838981::363","customer number",Column,"David","39447"
"1075838981::367","payment transaction number",Column,"David","39447"
