ERwin Property Ids,1075850516::User Formatted Name  [read only],0::Object Type  [read only],1073742125::Definition,1073742126::Name,1075848978::Type  [read only],1075849017::Attribute,1075849062::Null Option,1075849148::Comments,1075849176::Physical Name,1075849201::Logical Data Type
"1075838981::145","employee firstname",Column,"Employee’s name","employee firstname","Non Primary Key","","Null","Employee’s name","employee_firstname","VARCHAR(20)"
"1075838981::146","employee address",Column,"First line of the employee’s address","employee address","Non Primary Key","","Null","First line of the employee’s address","employee_address","VARCHAR(20)"
"1075838981::147","employee phone",Column,"Employee’s home phone number","employee phone","Non Primary Key","","Null","Employee’s home phone number","employee_phone","VARCHAR(20)"
"1075838981::149","store address",Column,"The first line of the street address of the store","store address","Non Primary Key","","Null","The first line of the street address of the store","store_address","VARCHAR(20)"
"1075838981::150","store phone",Column,"The store’s phone number","store phone","Non Primary Key","","Null","The store’s phone number","store_phone","VARCHAR(20)"
"1075838981::151","store city",Column,"The city associated with the store’s address","store city","Non Primary Key","","Null","The city associated with the store’s address","store_city","VARCHAR(20)"
"1075838981::152","store state",Column,"The state associated with the store’s address","store state","Non Primary Key","","Null","The state associated with the store’s address","store_state","VARCHAR(20)"
"1075838981::153","store zipcode",Column,"The zip code associated with the store’s address","store zipcode","Non Primary Key","","Null","The zip code associated with the store’s address","store_zipcode","VARCHAR(20)"
"1075838981::154","String",Column,"Second line street address of the employee","String","Non Primary Key","","Null","Second line street address of the employee","String","VARCHAR(20)"
"1075838981::155","String",Column,"The first line of the street address of the store","String","Non Primary Key","","Null","The first line of the street address of the store","String","VARCHAR(20)"
"1075838981::156","movie title",Column,"","movie title","Non Primary Key","","Null","","movie_title","VARCHAR(20)"
"1075838981::157","movie director",Column,"Last name of the movie’s director","movie director","Non Primary Key","","Null","Last name of the movie’s director","movie_director","VARCHAR(20)"
"1075838981::162","rental date",Column,"The date on which the movie was rented","rental date","Non Primary Key","","Null","The date on which the movie was rented","rental_date","DATE"
"1075838981::163","due date",Column,"The date on which the  movie is due back to the store","due date","Non Primary Key","","Null","The date on which the  movie is due back to the store","due_date","DATE"
"1075838981::164","rental status",Column,"Rental status of the movie copy","rental status","Non Primary Key","","Null","Rental status of the movie copy","rental_status","VARCHAR(20)"
"1075838981::165","overdue charge",Column,"The amount owed for an overdue movie rental","overdue charge","Non Primary Key","","Null","The amount owed for an overdue movie rental","overdue_charge","INTEGER"
"1075838981::166","rental rate",Column,"Amount charged for the rental of a movie","rental rate","Non Primary Key","","Null","Amount charged for the rental of a movie","rental_rate","INTEGER"
"1075838981::167","rental record date",Column,"The date on which the rental transaction  is recorded","rental record date","Primary Key","","Not Null","The date on which the rental transaction  is recorded","rental_record_date","DATE"
"1075838981::169","general condition",Column,"code identifying the general condition of the copy of the movie","general condition","Non Primary Key","","Null","code identifying the general condition of the copy of the movie","general_condition","VARCHAR(20)"
"1075838981::170","movie format",Column,"Defines the format of the movie copy (i.e VHS\, DVD)","movie format","Non Primary Key","","Null","Defines the format of the movie copy (i.e VHS\, DVD)","movie_format","VARCHAR(20)"
"1075838981::171","movie copy number",Column,"A unique number  identifying the movie copy","movie copy number","Primary Key","","Not Null","A unique number  identifying the movie copy","movie_copy_number","INTEGER"
"1075838981::173","soc sec number",Column,"Social Security Number","soc sec number","Non Primary Key","","Null","Social Security Number","soc_sec_number","INTEGER"
